"id","parametre_id","nom","alteration_id","nom","valeur","libelle","borne_inf_incluse","borne_sup_incluse","borne_inf","borne_sup","unite_mesure_code","libelle","norme"
"10283","1350","Phosphore total","3","NUTRI","1","Bleu","t","f","\N","0.050000000000000003","162","milligramme par litre","DCE"
"10284","1350","Phosphore total","3","NUTRI","2","Vert","t","f","0.050000000000000003","0.20000000000000001","162","milligramme par litre","DCE"
"10285","1350","Phosphore total","3","NUTRI","3","Jaune","t","f","0.20000000000000001","0.5","162","milligramme par litre","DCE"
"10286","1350","Phosphore total","3","NUTRI","4","Orange","t","f","0.5","1","162","milligramme par litre","DCE"
"10287","1350","Phosphore total","3","NUTRI","5","Rouge","t","f","1","\N","162","milligramme par litre","DCE"
"10288","1369","Arsenic","4","POSPE","1","Bleu","t","f","\N","4.2000000000000002","133","microgramme par litre","DCE"
"10289","1369","Arsenic","4","POSPE","5","Rouge","t","f","4.2000000000000002","\N","133","microgramme par litre","DCE"
"10290","1389","Chrome","4","POSPE","1","Bleu","t","f","\N","3.3999999999999999","133","microgramme par litre","DCE"
"10291","1389","Chrome","4","POSPE","5","Rouge","t","f","3.3999999999999999","\N","133","microgramme par litre","DCE"
"10292","1392","Cuivre","4","POSPE","1","Bleu","t","f","\N","1.3999999999999999","133","microgramme par litre","DCE"
"10293","1392","Cuivre","4","POSPE","5","Rouge","t","f","1.3999999999999999","\N","133","microgramme par litre","DCE"
"10294","1383","Zinc","4","POSPE","1","Bleu","t","f","\N","7.7999999999999998","133","microgramme par litre","DCE"
"10295","1383","Zinc","4","POSPE","5","Rouge","t","f","7.7999999999999998","\N","133","microgramme par litre","DCE"
"10296","1136","Chlortoluron","4","POSPE","1","Bleu","t","f","\N","5","133","microgramme par litre","DCE"
"10297","1136","Chlortoluron","4","POSPE","5","Rouge","t","f","5","\N","133","microgramme par litre","DCE"
"10298","1667","Oxadiazon","4","POSPE","1","Bleu","t","f","\N","0.75","133","microgramme par litre","DCE"
"10299","1667","Oxadiazon","4","POSPE","5","Rouge","t","f","0.75","\N","133","microgramme par litre","DCE"
"10300","1209","Linuron","4","POSPE","1","Bleu","t","f","\N","1","133","microgramme par litre","DCE"
"10301","1209","Linuron","4","POSPE","5","Rouge","t","f","1","\N","133","microgramme par litre","DCE"
"10302","1141","2,4-D","4","POSPE","1","Bleu","t","f","\N","1.5","133","microgramme par litre","DCE"
"10303","1141","2,4-D","4","POSPE","5","Rouge","t","f","1.5","\N","133","microgramme par litre","DCE"
"10304","1212","2,4-MCPA","4","POSPE","1","Bleu","t","f","\N","0.10000000000000001","133","microgramme par litre","DCE"
"10305","1212","2,4-MCPA","4","POSPE","5","Rouge","t","f","0.10000000000000001","\N","133","microgramme par litre","DCE"
"10306","1101","Alachlore","5","SDP","1","Bleu","t","f","\N","0.29999999999999999","133","microgramme par litre","DCE"
"10307","1101","Alachlore","5","SDP","4","Orange","t","f","0.29999999999999999","0.69999999999999996","133","microgramme par litre","DCE"
"10308","1101","Alachlore","5","SDP","5","Rouge","t","f","0.69999999999999996","\N","133","microgramme par litre","DCE"
"10309","1458","Anthracène","5","SDP","1","Bleu","t","f","\N","0.10000000000000001","133","microgramme par litre","DCE"
"10310","1458","Anthracène","5","SDP","4","Orange","t","f","0.10000000000000001","0.40000000000000002","133","microgramme par litre","DCE"
"10311","1458","Anthracène","5","SDP","5","Rouge","t","f","0.40000000000000002","\N","133","microgramme par litre","DCE"
"10312","1107","Atrazine","5","SDP","1","Bleu","t","f","\N","0.59999999999999998","133","microgramme par litre","DCE"
"10313","1107","Atrazine","5","SDP","4","Orange","t","f","0.59999999999999998","2","133","microgramme par litre","DCE"
"10314","1107","Atrazine","5","SDP","5","Rouge","t","f","2","\N","133","microgramme par litre","DCE"
"10315","1114","Benzène","5","SDP","4","Orange","t","f","\N","10","133","microgramme par litre","DCE"
"10316","1114","Benzène","5","SDP","5","Rouge","t","f","10","50","133","microgramme par litre","DCE"
"10317","1114","Benzène","5","SDP","3","Jaune","t","f","50","\N","133","microgramme par litre","DCE"
"10318","1921","Pentabromodiphényl éther technique","5","SDP","1","Bleu","t","f","\N","0.00050000000000000001","133","microgramme par litre","DCE"
"10319","1921","Pentabromodiphényl éther technique","5","SDP","5","Rouge","t","f","0.00050000000000000001","\N","133","microgramme par litre","DCE"
"10320","1388","Cadmium","5","SDP","1","Bleu","t","f","\N","0.25","133","microgramme par litre","DCE"
"10321","1388","Cadmium","5","SDP","4","Orange","t","f","0.25","1.5","133","microgramme par litre","DCE"
"10322","1388","Cadmium","5","SDP","5","Rouge","t","f","1.5","\N","133","microgramme par litre","DCE"
"10323","1276","Tétrachlorure de carbone","5","SDP","1","Bleu","t","f","\N","12","133","microgramme par litre","DCE"
"10324","1276","Tétrachlorure de carbone","5","SDP","5","Rouge","t","f","12","\N","133","microgramme par litre","DCE"
"10325","1955","C10-C13-CHLOROALCANES","5","SDP","1","Bleu","t","f","\N","0.40000000000000002","133","microgramme par litre","DCE"
"10326","1955","C10-C13-CHLOROALCANES","5","SDP","4","Orange","t","f","0.40000000000000002","1.3999999999999999","133","microgramme par litre","DCE"
"10327","1955","C10-C13-CHLOROALCANES","5","SDP","5","Rouge","t","f","1.3999999999999999","\N","133","microgramme par litre","DCE"
"10328","1464","Chlorfenvinphos","5","SDP","1","Bleu","t","f","\N","0.10000000000000001","133","microgramme par litre","DCE"
"10329","1464","Chlorfenvinphos","5","SDP","4","Orange","t","f","0.10000000000000001","0.29999999999999999","133","microgramme par litre","DCE"
"10330","1464","Chlorfenvinphos","5","SDP","5","Rouge","t","f","0.29999999999999999","\N","133","microgramme par litre","DCE"
"10331","1083","Chlorpyriphos-éthyl","5","SDP","1","Bleu","t","f","\N","0.029999999999999999","133","microgramme par litre","DCE"
"10332","1083","Chlorpyriphos-éthyl","5","SDP","4","Orange","t","f","0.029999999999999999","0.10000000000000001","133","microgramme par litre","DCE"
"10333","1083","Chlorpyriphos-éthyl","5","SDP","5","Rouge","t","f","0.10000000000000001","\N","133","microgramme par litre","DCE"
"10334","-1","Pesticides cyclodiènes","5","SDP","1","Bleu","t","f","\N","0.01","133","microgramme par litre","DCE"
"10335","-1","Pesticides cyclodiènes","5","SDP","5","Rouge","t","f","0.01","\N","133","microgramme par litre","DCE"
"10336","6497","Somme du DDTop', DDTpp', DDEop', DDEpp', DDDop' et du  DDDpp'","5","SDP","1","Bleu","t","f","\N","0.025000000000000001","133","microgramme par litre","DCE"
"10337","6497","Somme du DDTop', DDTpp', DDEop', DDEpp', DDDop' et du  DDDpp'","5","SDP","5","Rouge","t","f","0.025000000000000001","\N","133","microgramme par litre","DCE"
"10338","1148","DDT 44'","5","SDP","1","Bleu","t","f","\N","0.01","133","microgramme par litre","DCE"
"10339","1148","DDT 44'","5","SDP","5","Rouge","t","f","0.01","\N","133","microgramme par litre","DCE"
"10340","1161","Dichloroéthane-1,2","5","SDP","1","Bleu","t","f","\N","10","133","microgramme par litre","DCE"
"10341","1161","Dichloroéthane-1,2","5","SDP","5","Rouge","t","f","10","\N","133","microgramme par litre","DCE"
"10342","1168","Dichlorométhane","5","SDP","1","Bleu","t","f","\N","20","133","microgramme par litre","DCE"
"10343","1168","Dichlorométhane","5","SDP","5","Rouge","t","f","20","\N","133","microgramme par litre","DCE"
"10344","6616","Di(2-ethylhexyl)phtalate","5","SDP","1","Bleu","t","f","\N","1.3","133","microgramme par litre","DCE"
"10345","6616","Di(2-ethylhexyl)phtalate","5","SDP","5","Rouge","t","f","1.3","\N","133","microgramme par litre","DCE"
"10346","1177","Diuron","5","SDP","1","Bleu","t","f","\N","0.20000000000000001","133","microgramme par litre","DCE"
"10347","1177","Diuron","5","SDP","4","Orange","t","f","0.20000000000000001","1.8","133","microgramme par litre","DCE"
"10348","1177","Diuron","5","SDP","5","Rouge","t","f","1.8","\N","133","microgramme par litre","DCE"
"10349","1743","Endosulfan","5","SDP","1","Bleu","t","f","\N","0.0050000000000000001","133","microgramme par litre","DCE"
"10350","1743","Endosulfan","5","SDP","4","Orange","t","f","0.0050000000000000001","0.01","133","microgramme par litre","DCE"
"10351","1743","Endosulfan","5","SDP","5","Rouge","t","f","0.01","\N","133","microgramme par litre","DCE"
"10352","1191","Fluoranthène","5","SDP","1","Bleu","t","f","\N","0.10000000000000001","133","microgramme par litre","DCE"
"10353","1191","Fluoranthène","5","SDP","4","Orange","t","f","0.10000000000000001","1","133","microgramme par litre","DCE"
"10354","1191","Fluoranthène","5","SDP","5","Rouge","t","f","1","\N","133","microgramme par litre","DCE"
"10355","1199","Hexachlorobenzène","5","SDP","1","Bleu","t","f","\N","0.01","133","microgramme par litre","DCE"
"10356","1199","Hexachlorobenzène","5","SDP","4","Orange","t","f","0.01","0.050000000000000003","133","microgramme par litre","DCE"
"10357","1199","Hexachlorobenzène","5","SDP","5","Rouge","t","f","0.050000000000000003","\N","133","microgramme par litre","DCE"
"10358","1652","Hexachlorobutadiène","5","SDP","1","Bleu","t","f","\N","0.10000000000000001","133","microgramme par litre","DCE"
"10359","1652","Hexachlorobutadiène","5","SDP","4","Orange","t","f","0.10000000000000001","0.59999999999999998","133","microgramme par litre","DCE"
"10360","1652","Hexachlorobutadiène","5","SDP","5","Rouge","t","f","0.59999999999999998","\N","133","microgramme par litre","DCE"
"10361","5537","Somme des Hexachlorocyclohexanes","5","SDP","1","Bleu","t","f","\N","0.02","133","microgramme par litre","DCE"
"10362","5537","Somme des Hexachlorocyclohexanes","5","SDP","4","Orange","t","f","0.02","0.040000000000000001","133","microgramme par litre","DCE"
"10363","5537","Somme des Hexachlorocyclohexanes","5","SDP","5","Rouge","t","f","0.040000000000000001","\N","133","microgramme par litre","DCE"
"10364","1208","Isoproturon","5","SDP","1","Bleu","t","f","\N","0.29999999999999999","133","microgramme par litre","DCE"
"10365","1208","Isoproturon","5","SDP","4","Orange","t","f","0.29999999999999999","1","133","microgramme par litre","DCE"
"10366","1208","Isoproturon","5","SDP","5","Rouge","t","f","1","\N","133","microgramme par litre","DCE"
"10367","1382","Plomb","5","SDP","1","Bleu","t","f","\N","7.2000000000000002","133","microgramme par litre","DCE"
"10368","1382","Plomb","5","SDP","5","Rouge","t","f","7.2000000000000002","\N","133","microgramme par litre","DCE"
"10369","1387","Mercure","5","SDP","1","Bleu","t","f","\N","0.050000000000000003","133","microgramme par litre","DCE"
"10370","1387","Mercure","5","SDP","4","Orange","t","f","0.050000000000000003","0.070000000000000007","133","microgramme par litre","DCE"
"10371","1387","Mercure","5","SDP","5","Rouge","t","f","0.070000000000000007","\N","133","microgramme par litre","DCE"
"10372","1517","Naphtalène","5","SDP","1","Bleu","t","f","\N","2.3999999999999999","133","microgramme par litre","DCE"
"10373","1517","Naphtalène","5","SDP","5","Rouge","t","f","2.3999999999999999","\N","133","microgramme par litre","DCE"
"10374","1386","Nickel","5","SDP","1","Bleu","t","f","\N","20","133","microgramme par litre","DCE"
"10375","1386","Nickel","5","SDP","5","Rouge","t","f","20","\N","133","microgramme par litre","DCE"
"10376","5474","4-n-nonylphénol","5","SDP","1","Bleu","t","f","\N","0.29999999999999999","133","microgramme par litre","DCE"
"10377","5474","4-n-nonylphénol","5","SDP","5","Rouge","t","f","0.29999999999999999","\N","133","microgramme par litre","DCE"
"10378","1959","4-tert-Octylphenol","5","SDP","1","Bleu","t","f","\N","0.10000000000000001","133","microgramme par litre","DCE"
"10379","1959","4-tert-Octylphenol","5","SDP","5","Rouge","t","f","0.01","\N","133","microgramme par litre","DCE"
"10380","1888","Pentachlorobenzene","5","SDP","1","Bleu","t","f","\N","0.0070000000000000001","133","microgramme par litre","DCE"
"10381","1888","Pentachlorobenzene","5","SDP","5","Rouge","t","f","0.0070000000000000001","1","133","microgramme par litre","DCE"
"10382","1235","Pentachlorophénol","5","SDP","1","Bleu","t","f","\N","0.40000000000000002","133","microgramme par litre","DCE"
"10383","1235","Pentachlorophénol","5","SDP","4","Orange","t","f","0.40000000000000002","1","133","microgramme par litre","DCE"
"10384","1235","Pentachlorophénol","5","SDP","5","Rouge","t","f","1","\N","133","microgramme par litre","DCE"
"10385","1115","Benzo(a)pyrène","5","SDP","1","Bleu","t","f","\N","0.050000000000000003","133","microgramme par litre","DCE"
"10386","1115","Benzo(a)pyrène","5","SDP","4","Orange","t","f","0.050000000000000003","0.10000000000000001","133","microgramme par litre","DCE"
"10387","1115","Benzo(a)pyrène","5","SDP","5","Rouge","t","f","0.10000000000000001","\N","133","microgramme par litre","DCE"
"10388","5535","Somme de Benzo(b)fluoranthène et Benzo(k)fluoranthène","5","SDP","1","Bleu","t","f","\N","0.029999999999999999","133","microgramme par litre","DCE"
"10389","5535","Somme de Benzo(b)fluoranthène et Benzo(k)fluoranthène","5","SDP","5","Rouge","t","f","0.029999999999999999","1","133","microgramme par litre","DCE"
"10390","5536","Somme de Benzo(g,h,i)pérylène et Indéno(1,2,3-cd)pyrène","5","SDP","1","Bleu","t","f","\N","0.002","133","microgramme par litre","DCE"
"10391","5536","Somme de Benzo(g,h,i)pérylène et Indéno(1,2,3-cd)pyrène","5","SDP","5","Rouge","t","f","0.002","1","133","microgramme par litre","DCE"
"10392","1263","Simazine","5","SDP","1","Bleu","t","f","\N","1","133","microgramme par litre","DCE"
"10393","1263","Simazine","5","SDP","4","Orange","t","f","1","4","133","microgramme par litre","DCE"
"10394","1263","Simazine","5","SDP","5","Rouge","t","f","4","\N","133","microgramme par litre","DCE"
"10395","1272","Tétrachloroéthylène","5","SDP","1","Bleu","t","f","\N","10","133","microgramme par litre","DCE"
"10396","1272","Tétrachloroéthylène","5","SDP","5","Rouge","t","f","10","\N","133","microgramme par litre","DCE"
"10397","1286","Trichloroéthylène","5","SDP","1","Bleu","t","f","\N","10","133","microgramme par litre","DCE"
"10398","1286","Trichloroéthylène","5","SDP","5","Rouge","t","f","10","\N","133","microgramme par litre","DCE"
"10399","2879","Tributyletain cation","5","SDP","1","Bleu","t","f","\N","0.00020000000000000001","133","microgramme par litre","DCE"
"10400","2879","Tributyletain cation","5","SDP","4","Orange","t","f","0.00020000000000000001","0.0015","133","microgramme par litre","DCE"
"10401","2879","Tributyletain cation","5","SDP","5","Rouge","t","f","0.0015","\N","133","microgramme par litre","DCE"
"10402","1774","Somme des Trichlorobenzenes","5","SDP","1","Bleu","t","f","\N","0.40000000000000002","133","microgramme par litre","DCE"
"10403","1774","Somme des Trichlorobenzenes","5","SDP","5","Rouge","t","f","0.40000000000000002","\N","133","microgramme par litre","DCE"
"10404","1135","Chloroforme","5","SDP","5","Rouge","t","f","\N","2.5","133","microgramme par litre","DCE"
"10405","1135","Chloroforme","5","SDP","1","Bleu","t","f","2.5","\N","133","microgramme par litre","DCE"
"10406","1289","Trifluraline","5","SDP","5","Rouge","t","f","\N","0.029999999999999999","133","microgramme par litre","DCE"
"10407","1289","Trifluraline","5","SDP","1","Bleu","t","f","0.0030000000000000001","\N","133","microgramme par litre","DCE"
"10408","1302","Potentiel en Hydrogène (pH)","6","EPRV","1","Bleu","t","f","\N","8","264","unité pH","SEQ"
"10409","1302","Potentiel en Hydrogène (pH)","6","EPRV","2","Vert","t","f","8","8.5","264","unité pH","SEQ"
"10410","1302","Potentiel en Hydrogène (pH)","6","EPRV","3","Jaune","t","f","8.5","9","264","unité pH","SEQ"
"10411","1302","Potentiel en Hydrogène (pH)","6","EPRV","4","Orange","t","f","9","9.5","264","unité pH","SEQ"
"10412","1302","Potentiel en Hydrogène (pH)","6","EPRV","5","Rouge","t","f","9.5","\N","264","unité pH","SEQ"
"10413","1312","Taux de saturation en oxygène","6","EPRV","1","Bleu","t","f","\N","110","243","pourcentage","SEQ"
"10414","1312","Taux de saturation en oxygène","6","EPRV","2","Vert","t","f","110","130","243","pourcentage","SEQ"
"10415","1312","Taux de saturation en oxygène","6","EPRV","3","Jaune","t","f","130","150","243","pourcentage","SEQ"
"10416","1312","Taux de saturation en oxygène","6","EPRV","4","Orange","t","f","150","200","243","pourcentage","SEQ"
"10417","1312","Taux de saturation en oxygène","6","EPRV","5","Rouge","t","f","200","\N","243","pourcentage","SEQ"
"10418","1302","Potentiel en Hydrogène (pH)","7","ACID","5","Rouge","f","t","\N","4.5","264","unité pH","SEQ"
"10419","1302","Potentiel en Hydrogène (pH)","7","ACID","4","Orange","f","t","4.5","5.5","264","unité pH","SEQ"
"10420","1302","Potentiel en Hydrogène (pH)","7","ACID","3","Jaune","f","t","5.5","6","264","unité pH","SEQ"
"10421","1302","Potentiel en Hydrogène (pH)","7","ACID","2","Vert","f","t","6","6.5","264","unité pH","SEQ"
"10422","1302","Potentiel en Hydrogène (pH)","7","ACID","1","Bleu","f","f","6.5","8.1999999999999993","264","unité pH","SEQ"
"10423","1302","Potentiel en Hydrogène (pH)","7","ACID","2","Vert","t","f","8.1999999999999993","9","264","unité pH","SEQ"
"10424","1302","Potentiel en Hydrogène (pH)","7","ACID","3","Jaune","t","f","9","9.5","264","unité pH","SEQ"
"10425","1302","Potentiel en Hydrogène (pH)","7","ACID","4","Orange","t","f","9.5","10","264","unité pH","SEQ"
"10426","1302","Potentiel en Hydrogène (pH)","7","ACID","5","Rouge","t","f","10","\N","264","unité pH","SEQ"
"10427","1301","Température de l'Eau","8","TEMP","1","Bleu","t","f","\N","24","27","degré Celsius","SEQ"
"10428","1301","Température de l'Eau","8","TEMP","2","Vert","t","f","24","25.5","27","degré Celsius","SEQ"
"10429","1301","Température de l'Eau","8","TEMP","3","Jaune","t","f","25.5","27","27","degré Celsius","SEQ"
"10430","1301","Température de l'Eau","8","TEMP","4","Orange","t","f","27","28","27","degré Celsius","SEQ"
"10431","1301","Température de l'Eau","8","TEMP","5","Rouge","t","f","28","\N","27","degré Celsius","SEQ"
"10432","1311","Oxygène dissous","9","MOOX","1","Bleu","f","t","8","\N","175","milligramme d'oxygène par litre","SEQ"
"10433","1311","Oxygène dissous","9","MOOX","2","Vert","f","t","6","8","175","milligramme d'oxygène par litre","SEQ"
"10434","1311","Oxygène dissous","9","MOOX","3","Jaune","f","t","4","6","175","milligramme d'oxygène par litre","SEQ"
"10435","1311","Oxygène dissous","9","MOOX","4","Orange","f","t","3","4","175","milligramme d'oxygène par litre","SEQ"
"10436","1311","Oxygène dissous","9","MOOX","5","Rouge","f","t","\N","3","175","milligramme d'oxygène par litre","SEQ"
"10437","1312","Taux de saturation en oxygène","9","MOOX","1","Bleu","f","t","90","\N","243","pourcentage","SEQ"
"10438","1312","Taux de saturation en oxygène","9","MOOX","2","Vert","f","t","70","90","243","pourcentage","SEQ"
"10439","1312","Taux de saturation en oxygène","9","MOOX","3","Jaune","f","t","50","70","243","pourcentage","SEQ"
"10440","1312","Taux de saturation en oxygène","9","MOOX","4","Orange","f","t","30","50","243","pourcentage","SEQ"
"10441","1312","Taux de saturation en oxygène","9","MOOX","5","Rouge","f","t","\N","30","243","pourcentage","SEQ"
"10442","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","9","MOOX","1","Bleu","t","f","\N","3","175","milligramme d'oxygène par litre","SEQ"
"10443","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","9","MOOX","2","Vert","t","f","3","6","175","milligramme d'oxygène par litre","SEQ"
"10444","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","9","MOOX","3","Jaune","t","f","6","10","175","milligramme d'oxygène par litre","SEQ"
"10445","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","9","MOOX","4","Orange","t","f","10","25","175","milligramme d'oxygène par litre","SEQ"
"10446","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","9","MOOX","5","Rouge","t","f","25","\N","175","milligramme d'oxygène par litre","SEQ"
"10447","1314","Demande Chimique en Oxygène (D.C.O.)","9","MOOX","1","Bleu","t","f","\N","20","175","milligramme d'oxygène par litre","SEQ"
"10448","1314","Demande Chimique en Oxygène (D.C.O.)","9","MOOX","2","Vert","t","f","20","30","175","milligramme d'oxygène par litre","SEQ"
"10449","1314","Demande Chimique en Oxygène (D.C.O.)","9","MOOX","3","Jaune","t","f","30","40","175","milligramme d'oxygène par litre","SEQ"
"10450","1314","Demande Chimique en Oxygène (D.C.O.)","9","MOOX","4","Orange","t","f","40","80","175","milligramme d'oxygène par litre","SEQ"
"10451","1314","Demande Chimique en Oxygène (D.C.O.)","9","MOOX","5","Rouge","t","f","80","\N","175","milligramme d'oxygène par litre","SEQ"
"10462","1319","Azote Kjeldahl","9","MOOX","1","Bleu","t","f","\N","1","168","milligramme d'azote par litre","SEQ"
"10463","1319","Azote Kjeldahl","9","MOOX","2","Vert","t","f","1","2","168","milligramme d'azote par litre","SEQ"
"10464","1319","Azote Kjeldahl","9","MOOX","3","Jaune","t","f","2","4","168","milligramme d'azote par litre","SEQ"
"10465","1319","Azote Kjeldahl","9","MOOX","4","Orange","t","f","4","6","168","milligramme d'azote par litre","SEQ"
"10466","1319","Azote Kjeldahl","9","MOOX","5","Rouge","t","f","6","\N","168","milligramme d'azote par litre","SEQ"
"10472","1319","Azote Kjeldahl","10","AZOT","1","Bleu","t","f","\N","1","168","milligramme d'azote par litre","SEQ"
"10473","1319","Azote Kjeldahl","10","AZOT","2","Vert","t","f","1","2","168","milligramme d'azote par litre","SEQ"
"10474","1319","Azote Kjeldahl","10","AZOT","3","Jaune","t","f","2","4","168","milligramme d'azote par litre","SEQ"
"10475","1319","Azote Kjeldahl","10","AZOT","4","Orange","t","f","4","10","168","milligramme d'azote par litre","SEQ"
"10476","1319","Azote Kjeldahl","10","AZOT","5","Rouge","t","f","10","\N","168","milligramme d'azote par litre","SEQ"
